# created by the command table.sample.coordUniq 
# coordUniq=96 (from the original coordAll=100) 
coordBestUnique
1,10,2,11,5,3,6,4,7,8,9
1,2,5,6,10,11,3,4,7,8,9
1,4,2,5,6,9,7,10,3,8,11
1,4,5,9,10,2,3,6,7,8,11
1,4,5,9,10,3,8,2,6,7,11
1,6,4,7,5,10,8,2,11,9,3
1,6,9,10,4,2,7,11,5,3,8
10,11,3,1,4,2,7,5,8,6,9
10,11,4,9,2,3,7,1,5,8,6
10,2,11,3,6,4,7,5,8,9,1
10,2,11,5,3,6,4,7,8,9,1
10,2,11,5,3,8,1,6,4,9,7
10,3,7,8,1,2,6,11,4,5,9
10,3,8,1,2,6,7,11,4,5,9
10,8,11,9,1,4,2,5,3,6,7
10,8,2,11,3,6,4,9,7,1,5
11,3,1,4,5,8,2,6,9,7,10
11,3,4,5,8,6,9,7,1,10,2
11,3,4,8,9,1,2,5,6,7,10
11,4,7,5,8,9,1,10,2,3,6
11,4,9,2,3,7,8,1,5,6,10
11,5,9,3,7,8,1,6,10,4,2
11,9,3,1,6,4,7,5,10,8,2
2,3,6,7,11,4,5,8,9,1,10
2,5,3,8,6,11,4,9,7,1,10
2,5,3,8,6,11,9,7,1,10,4
2,6,11,3,4,7,5,8,9,1,10
2,7,11,1,5,6,10,3,4,8,9
2,7,5,8,6,11,9,10,3,1,4
3,4,7,5,8,9,1,2,6,10,11
3,6,9,7,1,10,4,8,2,11,5
3,7,1,10,8,2,6,11,4,5,9
3,7,1,5,6,10,4,8,2,11,9
3,7,5,8,6,11,9,1,10,4,2
3,7,8,11,1,5,6,9,10,4,2
3,8,1,6,4,9,2,7,10,11,5
4,2,5,6,9,10,3,7,8,11,1
4,2,7,11,5,9,3,8,1,6,10
4,2,7,5,8,11,9,3,1,6,10
4,2,7,5,8,6,11,9,10,3,1
4,5,10,8,9,2,3,6,7,11,1
4,5,8,2,6,11,9,3,7,1,10
4,5,9,3,7,8,1,10,2,6,11
4,8,1,2,5,6,9,7,10,11,3
4,8,2,6,9,7,11,1,5,10,3
4,8,9,2,3,6,7,11,1,5,10
4,8,9,7,1,2,5,6,10,11,3
4,9,2,7,5,10,3,8,6,11,1
5,10,2,3,6,4,7,8,11,9,1
5,8,6,10,11,4,9,2,3,7,1
5,8,9,1,6,10,2,11,3,4,7
5,8,9,3,1,2,6,7,10,11,4
5,9,3,8,1,6,10,4,2,7,11
6,10,11,4,5,8,9,2,3,7,1
6,10,8,11,4,9,2,3,7,1,5
6,11,4,9,7,1,5,10,3,8,2
6,11,9,7,1,10,4,2,5,3,8
6,4,9,10,2,3,7,8,11,1,5
6,4,9,7,1,10,2,11,5,3,8
6,4,9,7,10,8,2,11,5,3,1
7,1,10,4,2,11,5,3,8,6,9
7,1,5,6,10,11,4,8,9,2,3
7,1,5,8,6,10,11,4,9,2,3
7,10,11,4,5,8,9,2,3,1,6
7,10,2,11,5,3,8,1,6,4,9
7,10,4,8,2,11,5,9,3,1,6
7,10,8,11,9,1,2,5,3,6,4
7,10,8,2,11,1,5,3,6,4,9
7,10,8,2,11,3,1,6,4,5,9
7,11,1,10,4,2,5,3,8,6,9
7,11,1,4,5,9,10,8,2,3,6
7,11,1,5,10,3,4,8,2,6,9
7,11,1,5,10,3,8,6,4,9,2
7,11,5,3,8,1,6,10,4,9,2
7,11,5,9,3,1,10,4,8,2,6
7,5,10,3,8,1,2,6,11,4,9
7,5,10,8,11,3,1,6,4,9,2
7,5,8,9,10,2,11,3,1,6,4
7,8,11,1,4,2,5,6,9,10,3
8,1,4,2,5,6,9,7,10,11,3
8,11,1,5,6,4,9,10,2,3,7
8,11,1,6,4,5,9,10,2,3,7
8,11,4,9,2,3,7,1,5,6,10
8,2,11,5,3,6,4,9,7,1,10
8,2,11,9,3,7,1,5,6,10,4
8,2,6,11,9,7,1,5,10,3,4
8,6,11,9,3,1,4,2,7,5,10
8,6,9,7,10,11,1,4,2,5,3
8,9,2,3,6,7,11,1,4,5,10
9,1,10,4,2,3,7,5,8,6,11
9,1,2,6,7,10,11,4,5,3,8
9,10,2,11,3,4,7,5,8,1,6
9,10,3,8,1,2,6,4,7,11,5
9,2,3,7,1,5,10,8,6,11,4
9,3,1,6,4,2,7,5,10,8,11
9,7,10,11,1,4,2,5,3,8,6
