# created by the command table.sample.coordUniq 
# coordUniq=100 (from the original coordAll=100) 
coordBestUnique
1,10,2,7,8,13,14,18,19,5,6,11,12,16,17,3,4,9,15
1,12,10,17,2,9,7,18,16,8,14,19,6,4,15,13,5,11,3
1,17,18,5,3,9,10,7,16,8,14,6,15,12,4,2,13,19,11
1,7,12,18,10,16,8,14,19,6,17,4,15,2,13,5,11,3,9
10,14,15,19,16,1,2,6,7,13,11,17,18,3,4,8,5,12,9
10,14,2,11,18,15,3,8,12,19,9,16,1,6,17,7,4,13,5
10,15,16,2,8,13,3,14,19,1,6,7,11,12,17,18,4,5,9
10,15,2,7,16,8,13,14,19,1,5,6,11,12,17,18,3,4,9
10,17,15,7,5,14,12,16,4,2,13,11,18,3,8,19,9,1,6
10,7,16,8,13,17,5,14,2,18,6,11,15,3,12,19,4,9,1
11,12,17,3,4,9,10,15,7,16,13,14,1,2,18,8,19,5,6
11,15,12,19,16,1,17,2,9,18,6,3,7,4,8,13,5,10,14
11,8,12,9,13,1,10,17,14,18,15,19,5,16,2,6,3,7,4
11,8,15,5,12,9,16,13,14,1,2,18,6,3,10,19,17,7,4
11,9,1,7,18,16,8,6,13,17,5,3,14,12,4,10,15,2,19
12,10,16,17,14,2,18,6,3,19,7,4,11,8,9,15,13,1,5
12,10,19,17,9,15,7,16,14,4,2,13,11,1,18,8,5,6,3
12,10,19,17,9,7,16,14,4,1,2,18,8,6,15,13,5,11,3
12,19,16,4,13,1,17,5,2,3,9,10,7,14,11,18,8,6,15
13,1,10,8,17,14,15,2,19,7,5,11,12,9,18,16,6,3,4
13,10,17,7,14,11,18,15,5,3,12,19,16,4,1,2,8,9,6
13,11,3,1,12,18,10,8,19,17,9,15,7,5,16,14,2,6,4
13,18,19,5,16,6,3,4,10,11,8,17,9,14,15,1,12,2,7
13,18,3,10,19,7,16,14,4,11,1,8,17,15,5,12,2,9,6
13,18,5,10,11,16,3,8,14,15,19,1,6,12,17,4,2,9,7
13,19,11,17,9,14,15,1,7,18,5,16,6,3,12,4,10,2,8
13,3,1,10,8,19,17,7,5,14,12,2,11,9,18,16,6,4,15
14,1,12,18,4,5,10,2,8,19,6,11,17,9,15,7,16,13,3
14,11,18,15,3,12,19,16,4,1,2,8,5,9,6,13,10,17,7
14,19,1,6,17,7,4,5,11,12,9,18,10,15,16,2,8,13,3
14,2,11,9,18,6,15,3,12,10,19,7,16,4,13,1,8,17,5
14,4,2,11,8,15,12,19,9,16,13,1,17,18,5,6,3,10,7
14,6,11,12,17,4,9,18,10,15,16,2,13,3,19,1,7,8,5
15,1,2,6,3,7,12,13,18,19,4,5,10,11,16,8,17,9,14
15,1,7,8,12,13,18,5,10,16,14,2,19,6,11,17,3,4,9
15,12,2,13,19,11,17,9,1,7,18,5,16,6,3,4,10,8,14
15,19,7,5,11,16,3,14,1,8,6,12,17,4,2,9,13,18,10
15,3,7,12,19,16,4,13,1,5,10,2,11,8,17,9,14,18,6
16,14,4,11,1,8,17,15,5,12,2,9,18,6,13,3,10,19,7
17,15,7,5,16,3,14,12,4,2,8,13,19,11,9,1,18,6,10
17,18,3,4,9,10,15,19,16,1,2,7,8,13,5,14,6,11,12
17,18,4,15,5,10,16,2,3,8,9,13,14,19,1,6,7,11,12
17,4,2,9,13,18,10,15,19,7,5,11,16,3,14,1,8,6,12
17,5,3,14,12,4,10,2,19,11,9,1,7,18,16,8,6,15,13
