# created by the command table.sample.coordUniq 
# coordUniq=10 (from the original coordAll=10) 
coordBestUnique
1,5,6,10,11,8,15,12,16,17,2,3,9,7,13,14,18,19,4
12,4,10,2,19,11,9,1,18,16,8,6,17,15,7,13,5,3,14
12,9,13,10,17,14,15,2,19,7,11,18,16,3,4,1,8,5,6
14,12,2,19,9,7,18,16,6,4,13,11,1,10,8,17,15,5,3
16,1,6,10,17,7,14,4,2,13,11,18,8,15,5,3,12,19,9
18,8,6,17,15,3,7,12,4,13,5,10,14,2,19,11,9,16,1
19,16,1,17,2,18,6,3,7,4,8,5,9,13,10,14,11,15,12
5,9,10,15,2,7,13,11,18,16,3,8,14,19,1,6,12,17,4
6,10,7,11,16,8,13,17,14,18,15,3,12,19,4,1,5,2,9
7,16,4,13,1,5,10,14,2,11,18,8,6,15,3,12,19,17,9
