# created by the command table.sample.coordUniq 
# coordUniq=84 (from the original coordAll=100) 
coordBestUnique
10,8,11,6,9,3,12,1,4,13,7,2,5
10,8,11,9,2,3,12,6,1,4,13,7,5
10,8,11,9,3,12,13,6,1,4,7,2,5
10,8,11,9,3,12,4,7,1,13,2,5,6
10,8,11,9,3,12,6,4,7,1,13,2,5
10,8,2,11,9,3,12,6,1,4,13,7,5
10,8,9,2,11,3,12,6,1,4,13,7,5
11,9,3,12,1,10,4,13,7,5,8,2,6
11,9,3,12,6,1,10,4,13,7,2,5,8
11,9,3,12,6,1,10,4,13,7,5,8,2
11,9,3,12,6,1,10,4,13,7,8,2,5
11,9,3,12,6,7,1,10,4,13,2,5,8
11,9,3,12,6,7,1,10,4,13,5,8,2
11,9,3,12,6,7,1,10,4,13,8,2,5
11,9,3,12,7,1,10,4,13,5,8,2,6
12,6,9,7,1,10,4,13,8,2,11,5,3
12,7,9,1,10,4,13,8,2,11,5,3,6
12,9,1,10,4,13,8,7,2,11,5,3,6
3,12,9,1,10,4,13,7,8,2,11,5,6
6,9,12,7,1,10,4,13,8,2,11,5,3
7,10,8,11,9,3,12,1,4,13,2,5,6
7,8,11,9,3,12,1,10,4,13,2,5,6
8,11,6,9,10,3,12,1,4,13,7,2,5
8,11,6,9,12,1,10,3,4,13,7,2,5
8,11,9,12,1,10,3,4,13,7,2,5,6
8,11,9,2,3,12,6,1,10,4,13,7,5
8,11,9,2,3,12,6,7,1,10,4,13,5
8,11,9,3,12,1,10,4,13,2,6,7,5
8,11,9,3,12,1,4,13,7,10,2,5,6
8,11,9,3,12,6,4,7,1,10,2,13,5
8,11,9,3,12,6,7,1,10,4,5,13,2
8,2,11,9,3,12,6,1,10,4,13,7,5
8,2,11,9,3,12,6,7,1,10,4,13,5
8,3,6,9,7,12,1,10,4,13,2,11,5
8,9,1,10,2,11,3,12,13,6,4,7,5
8,9,1,10,2,11,3,12,4,13,5,6,7
8,9,1,10,2,11,3,12,4,13,7,5,6
8,9,1,10,2,11,3,12,6,4,13,7,5
8,9,12,1,10,13,2,11,3,6,4,7,5
8,9,12,1,10,13,2,11,5,3,6,4,7
8,9,12,1,10,4,13,2,11,5,3,6,7
8,9,12,3,7,1,10,13,2,11,5,6,4
8,9,12,6,1,10,4,13,7,2,11,5,3
8,9,12,7,1,10,11,3,4,13,2,5,6
8,9,12,7,1,10,11,4,13,2,5,3,6
8,9,12,7,1,10,2,11,3,4,13,5,6
8,9,12,7,1,10,4,13,2,11,5,6,3
8,9,2,11,3,12,6,7,1,10,4,13,5
8,9,2,3,12,13,6,7,1,10,11,4,5
8,9,2,3,12,6,1,10,4,13,7,11,5
8,9,2,3,12,6,7,1,10,13,11,4,5
8,9,3,12,1,10,13,7,2,11,4,5,6
8,9,3,12,1,10,4,13,2,11,5,6,7
8,9,3,12,1,10,4,13,2,11,6,7,5
8,9,3,12,13,6,1,10,4,7,2,11,5
8,9,3,12,13,7,1,10,2,11,5,6,4
8,9,3,12,13,7,1,10,2,11,6,4,5
8,9,7,1,10,2,11,3,12,4,13,5,6
9,1,10,13,8,2,11,3,12,6,4,7,5
9,1,10,3,4,13,7,8,2,11,12,5,6
9,10,13,7,8,2,11,3,12,6,1,4,5
9,10,13,8,2,11,3,12,6,1,4,7,5
9,10,13,8,2,11,3,12,6,4,7,1,5
9,10,3,1,4,13,7,8,2,11,12,5,6
9,10,3,12,1,4,13,7,5,8,2,11,6
9,10,3,12,4,13,7,8,2,1,11,5,6
9,12,1,10,3,13,4,7,8,2,11,5,6
9,12,1,10,3,4,13,7,2,11,5,8,6
9,12,6,1,10,4,13,7,8,2,11,5,3
9,12,7,1,10,11,4,13,8,2,5,3,6
9,12,7,1,10,13,8,2,11,3,4,5,6
9,13,7,10,8,2,11,3,12,6,1,4,5
9,3,12,1,4,13,7,10,5,8,2,11,6
9,3,12,6,1,10,4,13,7,2,11,5,8
9,3,12,7,1,10,13,11,4,2,5,8,6
9,3,12,7,1,10,13,8,11,4,2,5,6
9,3,12,7,1,10,13,8,2,11,5,6,4
9,3,7,1,10,4,13,8,2,11,12,5,6
9,7,1,10,13,8,2,11,3,12,5,6,4
9,7,1,10,13,8,2,11,5,3,12,6,4
9,7,1,10,8,2,11,3,12,4,13,5,6
9,7,10,8,2,11,3,12,1,4,13,5,6
9,7,10,8,2,11,3,12,6,1,4,13,5
9,7,10,8,3,12,1,4,13,2,11,5,6
